,steps,episodes,loss,averageReturn
0,24,10,0.059760741889476776,-6.0
1,46,20,-0.24172012507915497,0.0
2,85,30,0.32997697591781616,-3.0
3,107,40,0.3402710556983948,-6.0
4,141,50,0.24578957259655,-8.0
5,171,60,0.4150109887123108,-16.0
6,204,70,0.45782193541526794,-7.0
7,241,80,0.1753941774368286,-11.0
8,264,90,0.14352531731128693,5.0
9,298,100,0.2434099167585373,-10.0
10,319,110,-0.038877010345458984,7.0
11,347,120,0.15221206843852997,-2.0
12,368,130,-0.05730728060007095,-1.0
13,391,140,-0.09225964546203613,-5.0
14,410,150,0.020620476454496384,3.0
15,431,160,-0.013756418600678444,-9.0
16,447,170,-0.04515897110104561,-4.0
17,465,180,-0.016551971435546875,-2.0
18,477,190,0.20655938982963562,-2.0
19,490,200,-0.33452433347702026,-5.0
20,502,210,0.2480313777923584,4.0
21,519,220,-0.333118736743927,-5.0
22,534,230,0.39657527208328247,-3.0
23,550,240,0.4105547368526459,2.0
24,563,250,0.06657540798187256,-1.0
25,577,260,0.6422356367111206,2.0
26,589,270,0.21781614422798157,0.0
27,602,280,-0.6891824007034302,-3.0
28,615,290,0.08242666721343994,-1.0
29,628,300,-0.15650232136249542,-7.0
30,645,310,-0.5524131655693054,1.0
31,656,320,0.3923152685165405,-3.0
32,669,330,0.5562456250190735,1.0
33,682,340,-0.30862346291542053,-3.0
34,693,350,-0.35232099890708923,-9.0
35,704,360,-0.3141612410545349,-9.0
36,714,370,0.0618833526968956,-2.0
37,725,380,-0.30892127752304077,-3.0
38,736,390,-0.3813135027885437,1.0
39,747,400,-0.04972553998231888,3.0
40,757,410,0.006328548304736614,-4.0
41,768,420,0.6304168701171875,-3.0
42,778,430,0.009748774580657482,-4.0
43,789,440,0.3653741180896759,1.0
44,800,450,-0.3283548951148987,-5.0
45,810,460,0.023580174893140793,-6.0
46,821,470,-0.4516814351081848,-3.0
47,831,480,0.008661349304020405,4.0
48,842,490,-0.0708414614200592,3.0
49,853,500,0.18429918587207794,-5.0
50,863,510,0.0295758955180645,-4.0
51,873,520,0.008123483508825302,-2.0
52,884,530,0.14649394154548645,-3.0
53,894,540,-0.010646243579685688,-2.0
54,904,550,0.01903403177857399,2.0
55,914,560,-0.013220282271504402,0.0
56,924,570,-0.0014158679405227304,0.0
57,935,580,-0.4166637063026428,-7.0
58,945,590,0.03541172295808792,-6.0
59,955,600,0.018003959208726883,-8.0
60,966,610,-0.4727032780647278,-1.0
61,977,620,0.4282592236995697,-1.0
62,987,630,0.04044613614678383,0.0
63,999,640,0.6010313034057617,8.0
64,1009,650,0.01644669473171234,-2.0
65,1021,660,-0.08020883053541183,-2.0
66,1031,670,0.012515935115516186,-2.0
67,1041,680,0.00021842867136001587,2.0
68,1051,690,-0.012830153107643127,4.0
69,1061,700,0.014227810315787792,-4.0
70,1071,710,0.011961366049945354,-2.0
71,1081,720,0.015558469109237194,-2.0
72,1091,730,0.0033970170188695192,-6.0
73,1101,740,0.004655594006180763,-2.0
74,1112,750,-0.49089106917381287,-5.0
75,1122,760,-0.0071481978520751,-8.0
76,1132,770,0.033594727516174316,2.0
77,1143,780,-0.48052072525024414,-7.0
78,1153,790,0.03234359994530678,0.0
79,1163,800,0.020932549610733986,-4.0
80,1174,810,0.7306668162345886,-5.0
81,1184,820,0.006099808495491743,-4.0
82,1194,830,-0.0038957945071160793,-2.0
83,1204,840,0.007475817110389471,-4.0
84,1214,850,0.0055898865684866905,2.0
85,1224,860,0.010703010484576225,0.0
86,1234,870,0.016596544533967972,-2.0
87,1244,880,0.006892028264701366,-4.0
88,1254,890,0.010368424467742443,-2.0
89,1265,900,-0.8685261607170105,3.0
90,1275,910,3.4696982766035944e-05,-4.0
91,1285,920,0.00537395104765892,-6.0
92,1295,930,-0.002628632355481386,-2.0
93,1305,940,0.006738136522471905,2.0
94,1315,950,0.008333785459399223,6.0
95,1325,960,0.004017184022814035,0.0
96,1335,970,0.005857726093381643,-2.0
97,1345,980,0.023222772404551506,-2.0
98,1355,990,0.004276808351278305,-2.0
99,1365,1000,0.01700851507484913,2.0
100,1376,1010,-0.35772353410720825,7.0
101,1386,1020,0.0016691867494955659,0.0
102,1397,1030,-0.7147179245948792,-3.0
103,1407,1040,0.00533648207783699,-2.0
104,1417,1050,-0.0020606520120054483,0.0
105,1427,1060,-0.0006707143038511276,-4.0
106,1437,1070,-0.00016751911607570946,2.0
107,1447,1080,0.0038640156853944063,-6.0
108,1457,1090,-0.0004104420659132302,-4.0
109,1467,1100,0.0007149096927605569,-4.0
110,1477,1110,0.0016377046704292297,-2.0
111,1487,1120,-0.003081442089751363,4.0
112,1497,1130,0.0011020870879292488,0.0
113,1507,1140,0.004091392271220684,4.0
114,1518,1150,0.8726846575737,-1.0
115,1528,1160,-0.00017278137966059148,-2.0
116,1538,1170,-5.6498032790841535e-05,-6.0
117,1548,1180,-0.000883765344042331,-6.0
118,1558,1190,0.0010687097674235702,-4.0
119,1568,1200,0.006041590124368668,-2.0
120,1578,1210,-0.00025756267132237554,-2.0
121,1588,1220,0.0008953864453360438,-2.0
122,1599,1230,-0.04681303724646568,1.0
123,1609,1240,-0.0009870348731055856,-4.0
124,1619,1250,0.0006607071263715625,0.0
125,1629,1260,0.00771205872297287,-6.0
126,1639,1270,0.0003118483873549849,0.0
127,1649,1280,-4.854209328186698e-05,-4.0
128,1659,1290,7.288344204425812e-05,-8.0
129,1669,1300,0.003118371358141303,-4.0
130,1679,1310,0.0015046013286337256,2.0
131,1689,1320,0.0006379627739079297,0.0
132,1699,1330,0.0004635326622519642,-4.0
133,1709,1340,-0.0016788786742836237,-2.0
134,1719,1350,0.001072077895514667,-6.0
135,1729,1360,0.001869615400210023,-2.0
136,1739,1370,0.002737927483394742,-2.0
137,1749,1380,-0.0004936376353725791,-8.0
138,1759,1390,0.0006095120334066451,-6.0
139,1769,1400,0.0031681295949965715,-2.0
140,1779,1410,0.002265466842800379,-4.0
141,1789,1420,0.002769652521237731,-6.0
142,1799,1430,0.002099027391523123,-2.0
143,1809,1440,0.00218716892413795,-6.0
144,1819,1450,0.0008349221316166222,2.0
145,1829,1460,-0.0005232246476225555,2.0
146,1839,1470,0.0007161319372244179,-6.0
147,1849,1480,0.002225368283689022,0.0
148,1859,1490,-0.00023196963593363762,-4.0
149,1869,1500,0.003913687542080879,4.0
150,1879,1510,-0.0025037797167897224,0.0
151,1889,1520,0.0001782001490937546,-2.0
152,1899,1530,0.0020175320096313953,0.0
153,1909,1540,-0.003919064998626709,-2.0
