,trial_name,epochs,learning_rate,dropout_val,l2_val,layer_size,training_loss,training_mae,training_mse,validation_loss,validation_mae,validation_mse,test_loss,test_mae,test_mse
0,Ep50_Lr05_Do2_L2001_Ls29,50,0.05,0.2,0.001,29,0.019345343112945557,0.09648934006690979,0.018922053277492523,0.01650949753820896,0.08861309289932251,0.016105281189084053,0.016498012468218803,0.088199183344841,0.016093799844384193
1,Ep50_Lr05_Do2_L2001_Ls58,50,0.05,0.2,0.001,58,0.01853148639202118,0.09350326657295227,0.018063770607113838,0.014453217387199402,0.08119171112775803,0.013982407748699188,0.014379474334418774,0.08080149441957474,0.013908665627241135
2,Ep50_Lr05_Do2_L2001_Ls87,50,0.05,0.2,0.001,87,0.01828972063958645,0.09146104753017426,0.017696429044008255,0.01536601036787033,0.0841236561536789,0.014769371598958969,0.015485630370676517,0.08424504101276398,0.01488899439573288
3,Ep50_Lr05_Do2_L20001_Ls29,50,0.05,0.2,0.0001,29,0.013259447179734707,0.07525871694087982,0.012753738090395927,0.008215157315135002,0.06127256900072098,0.0077133458107709885,0.008224090561270714,0.06119123473763466,0.007722275797277689
4,Ep50_Lr05_Do2_L20001_Ls58,50,0.05,0.2,0.0001,58,0.018825720995664597,0.09570665657520294,0.01857546903192997,0.01505111064761877,0.08252474665641785,0.01480147335678339,0.014955339021980762,0.08195295929908752,0.014705700799822807
5,Ep50_Lr05_Do2_L20001_Ls87,50,0.05,0.2,0.0001,87,0.012963634915649891,0.07417639344930649,0.012357402592897415,0.00819646380841732,0.05927655100822449,0.007589417975395918,0.008140827529132366,0.05915950983762741,0.007533777039498091
6,Ep50_Lr05_Do2_L21e-05_Ls29,50,0.05,0.2,1e-05,29,0.01333125401288271,0.07707547396421432,0.013125174678862095,0.008780984207987785,0.0634622648358345,0.008573261089622974,0.00877959281206131,0.06346520781517029,0.008571873418986797
7,Ep50_Lr05_Do2_L21e-05_Ls58,50,0.05,0.2,1e-05,58,0.01184496097266674,0.06930168718099594,0.011432943865656853,0.006997266318649054,0.055152878165245056,0.00658432999625802,0.006989087909460068,0.05487644299864769,0.006576151121407747
8,Ep50_Lr05_Do2_L21e-05_Ls87,50,0.05,0.2,1e-05,87,0.017567912116646767,0.09115051478147507,0.017486635595560074,0.013903401792049408,0.0813356265425682,0.013822070322930813,0.01383045595139265,0.08090754598379135,0.013749117963016033
9,Ep50_Lr05_Do3_L2001_Ls29,50,0.05,0.3,0.001,29,0.023928161710500717,0.11227692663669586,0.023928161710500717,0.023330507799983025,0.1094445288181305,0.023330507799983025,0.023271318525075912,0.10935202240943909,0.023271318525075912
10,Ep50_Lr05_Do3_L2001_Ls58,50,0.05,0.3,0.001,58,0.02391922101378441,0.11227194219827652,0.02391922101378441,0.023313386365771294,0.1099247857928276,0.023313386365771294,0.023244885727763176,0.10984348505735397,0.023244885727763176
11,Ep50_Lr05_Do3_L2001_Ls87,50,0.05,0.3,0.001,87,0.023932021111249924,0.1123749315738678,0.023932021111249924,0.023324547335505486,0.10924634337425232,0.023324547335505486,0.023251475766301155,0.1091582179069519,0.023251475766301155
12,Ep50_Lr05_Do3_L20001_Ls29,50,0.05,0.3,0.0001,29,0.019946176558732986,0.09777878224849701,0.01963151805102825,0.015963982790708542,0.08192025870084763,0.01564607582986355,0.01595727726817131,0.08205354958772659,0.015639370307326317
13,Ep50_Lr05_Do3_L20001_Ls58,50,0.05,0.3,0.0001,58,0.023916563019156456,0.11215082556009293,0.023916563019156456,0.02343384176492691,0.11185475438833237,0.02343384176492691,0.023386452347040176,0.11180020123720169,0.023386452347040176
14,Ep50_Lr05_Do3_L20001_Ls87,50,0.05,0.3,0.0001,87,0.01904219575226307,0.09464001655578613,0.01859765313565731,0.01381679531186819,0.0800449475646019,0.013386138714849949,0.013863669708371162,0.07975153625011444,0.013433011248707771
15,Ep50_Lr05_Do3_L21e-05_Ls29,50,0.05,0.3,1e-05,29,0.017142266035079956,0.08892309665679932,0.01693671941757202,0.01248400378972292,0.07721959054470062,0.012274875305593014,0.01251807902008295,0.07728782296180725,0.012308954261243343
16,Ep50_Lr05_Do3_L21e-05_Ls58,50,0.05,0.3,1e-05,58,0.015758119523525238,0.08514562249183655,0.015471188351511955,0.010475028306245804,0.06682562828063965,0.010190838016569614,0.01047225296497345,0.06695784628391266,0.010188063606619835
17,Ep50_Lr05_Do3_L21e-05_Ls87,50,0.05,0.3,1e-05,87,0.02394493855535984,0.11217398941516876,0.02394493855535984,0.023346563801169395,0.11075420677661896,0.023346563801169395,0.023290235549211502,0.11067291349172592,0.023290235549211502
18,Ep50_Lr05_Do4_L2001_Ls29,50,0.05,0.4,0.001,29,0.023934120312333107,0.11227166652679443,0.023934120312333107,0.02331751398742199,0.11033764481544495,0.02331751398742199,0.023248668760061264,0.11025995016098022,0.023248668760061264
19,Ep50_Lr05_Do4_L2001_Ls58,50,0.05,0.4,0.001,58,0.023940004408359528,0.11208867281675339,0.023940004408359528,0.02336830459535122,0.11111344397068024,0.02336830459535122,0.023314708843827248,0.11103740334510803,0.023314708843827248
20,Ep50_Lr05_Do4_L2001_Ls87,50,0.05,0.4,0.001,87,0.023910855874419212,0.11208146065473557,0.023910855874419212,0.02335917390882969,0.11153216660022736,0.02335917390882969,0.02330106683075428,0.1114577203989029,0.02330106683075428
21,Ep50_Lr05_Do4_L20001_Ls29,50,0.05,0.4,0.0001,29,0.022460684180259705,0.10662761330604553,0.02233787439763546,0.02042977139353752,0.09970273822546005,0.020310791209340096,0.02041657269001007,0.09980078786611557,0.02029758132994175
22,Ep50_Lr05_Do4_L20001_Ls58,50,0.05,0.4,0.0001,58,0.020601263269782066,0.09980297833681107,0.02017698995769024,0.01717044785618782,0.08731519430875778,0.016745615750551224,0.017083482816815376,0.08691923320293427,0.01665865257382393
23,Ep50_Lr05_Do4_L20001_Ls87,50,0.05,0.4,0.0001,87,0.020767325535416603,0.10069070011377335,0.02033388428390026,0.01636284403502941,0.08437227457761765,0.015932505950331688,0.016356024891138077,0.08400953561067581,0.015925683081150055
24,Ep50_Lr05_Do4_L21e-05_Ls29,50,0.05,0.4,1e-05,29,0.023917486891150475,0.11237896978855133,0.023917486891150475,0.023377949371933937,0.11089260876178741,0.023377949371933937,0.023326478898525238,0.11081741750240326,0.023326478898525238
25,Ep50_Lr05_Do4_L21e-05_Ls58,50,0.05,0.4,1e-05,58,0.020006300881505013,0.09887007623910904,0.019856903702020645,0.019691424444317818,0.10719648003578186,0.01954539120197296,0.019724860787391663,0.10752946883440018,0.019578829407691956
26,Ep50_Lr05_Do4_L21e-05_Ls87,50,0.05,0.4,1e-05,87,0.020330825820565224,0.10091927647590637,0.02018854208290577,0.016729436814785004,0.0921257957816124,0.016589324921369553,0.016687389463186264,0.09176298975944519,0.01654728129506111
27,Ep50_Lr05_Do5_L2001_Ls29,50,0.05,0.5,0.001,29,0.023918701335787773,0.11216942965984344,0.023918701335787773,0.023331861943006516,0.10893242806196213,0.023331861943006516,0.023270366713404655,0.10883869975805283,0.023270366713404655
